StudentID,Gender,Grade10AvgMarks,Grade11AvgMarks
S00333,Female,58.63,68.16
S00334,Male,69.92,98.35
S00335,Female,52.52,56.49
S00336,Female,83.47,87.16
S00337,Male,3.31,2.47
S00338,Male,26.84,12.29
S00339,Female,46.96,34.59
S00340,Female,7.66,61.93
S00341,Male,70.59,44.91
S00342,Female,39.37,20.27
S00343,Male,27.27,58.92
S00344,Female,0.34,56.67
S00345,Male,71.98,52.44
S00346,Male,83.38,9.06
S00347,Male,39.5,92.7
S00348,Female,56.42,59.23
S00349,Female,22.77,26.4
S00350,Male,62.22,68.74
S00351,Female,1.21,31.79
S00352,Male,48.86,50.59
S00353,Male,64.42,34.11
S00354,Female,91.82,88.04
S00355,Female,38.13,99.4
S00356,Male,76.52,16.12
S00357,Female,59.77,2.36
S00358,Female,92.7,21.93
S00359,Male,39.84,59.0
S00360,Male,31.91,17.4
S00361,Female,88.71,81.15
S00362,Male,4.92,40.87
S00363,Male,13.64,61.05
S00364,Female,8.24,45.56
S00365,Male,84.31,90.33
S00366,Male,1.06,3.51
S00367,Female,86.17,72.93
S00368,Female,45.13,65.22
S00369,Male,0.4,64.95
S00370,Male,40.16,41.4
S00371,Female,18.68,1.57
S00372,Female,62.44,68.92
S00373,Female,67.94,82.95
S00374,Female,48.75,8.52
S00375,Male,4.05,44.16
S00376,Female,65.61,16.26
S00377,Female,84.2,61.09
S00378,Male,72.03,78.56
S00379,Female,83.0,66.67
S00380,Male,20.05,31.81
S00381,Female,88.89,13.97
S00382,Female,32.22,79.43
S00383,Female,1.34,32.39
S00384,Male,84.34,2.21
S00385,Male,94.18,57.14
S00386,Female,65.56,24.67
S00387,Male,23.14,84.12
S00388,Male,25.17,14.33
S00389,Male,46.66,43.48
S00390,Male,89.78,25.31
S00391,Male,14.96,68.96
S00392,Male,82.6,54.85
S00393,Female,29.13,79.1
S00394,Female,80.86,45.86
S00395,Male,92.03,0.48
S00396,Female,42.75,21.52
S00397,Female,36.51,99.92
S00398,Female,80.22,40.53
S00399,Female,52.95,62.02
S00400,Male,68.44,90.49
S00401,Female,62.28,2.05
S00402,Female,15.29,65.96
S00403,Male,84.48,28.84
S00404,Male,19.58,27.92
S00405,Female,93.23,22.49
S00406,Female,25.06,82.27
S00407,Female,73.39,37.29
S00408,Female,28.47,6.71
S00409,Female,31.78,9.69
S00410,Female,31.0,14.86
S00411,Male,74.79,89.89
S00412,Female,55.68,42.74
S00413,Female,88.3,91.6
S00414,Male,30.74,81.75
S00415,Male,69.2,83.79
S00416,Male,75.29,28.68
S00417,Male,15.15,27.13
S00418,Female,40.06,56.01
S00419,Female,48.28,41.79
S00420,Female,35.57,50.91
S00421,Female,32.21,5.32
S00422,Female,68.64,97.16
S00423,Female,21.59,5.82
S00424,Male,70.94,17.88
S00425,Female,93.5,67.82
S00426,Male,56.52,15.55
S00427,Male,61.14,10.69
S00428,Female,6.89,15.36
S00429,Male,86.45,6.19
S00430,Female,28.54,25.13
S00431,Male,61.51,27.11
S00432,Female,97.91,49.86
S00433,Male,59.55,43.87
S00434,Female,72.47,47.37
S00435,Female,44.53,61.6
S00436,Female,6.04,23.1
S00437,Female,79.76,13.47
S00438,Female,3.5,87.89
S00439,Male,70.07,63.39
S00440,Male,2.29,6.07
S00441,Male,86.23,96.11
S00442,Female,15.76,69.31
S00443,Male,51.43,15.17
S00444,Female,59.72,96.91
S00445,Female,45.75,36.54
S00446,Male,34.08,98.45
S00447,Male,46.78,10.33
S00448,Female,31.14,16.0
S00449,Male,43.81,65.74
S00450,Female,35.89,2.21
S00451,Female,56.62,1.87
S00452,Female,23.79,79.2
S00453,Female,98.87,16.78
S00454,Female,50.09,91.88
S00455,Male,19.42,42.59
S00456,Male,47.71,87.37
S00457,Female,86.64,41.78
S00458,Female,2.18,53.02
S00459,Male,67.96,31.65
S00460,Male,54.8,65.81
S00461,Female,16.96,31.82
S00462,Male,81.75,22.32
S00463,Female,36.89,8.1
S00464,Male,29.38,5.77
S00465,Female,82.81,30.6
S00466,Male,63.85,73.65
S00467,Female,89.83,20.56
S00468,Male,62.99,29.92
S00469,Male,74.08,90.52
S00470,Female,83.64,63.92
S00471,Male,5.47,91.97
S00472,Female,77.6,91.12
S00473,Male,61.37,6.34
S00474,Female,6.95,95.5
S00475,Male,50.86,5.12
S00476,Female,8.25,92.56
S00477,Male,73.59,54.67
S00478,Female,54.65,53.32
S00479,Male,95.36,71.33
S00480,Female,18.31,87.92
S00481,Female,60.6,61.7
S00482,Female,21.16,42.54
S00483,Male,61.41,11.19
S00484,Female,72.26,78.92
S00485,Male,72.23,12.83
S00486,Female,81.51,72.64
S00487,Male,85.36,52.79
S00488,Female,7.73,38.58
S00489,Male,34.33,61.3
S00490,Male,68.71,77.24
S00491,Female,49.86,94.11
S00492,Male,19.07,26.47
S00493,Male,55.27,94.71
S00494,Female,40.74,96.09
S00495,Male,39.0,81.36
S00496,Male,80.98,88.14
S00497,Male,40.76,69.24
S00498,Female,2.65,3.91
S00499,Male,5.81,57.51
S00500,Female,85.62,74.72
S00501,Male,96.06,94.17
S00502,Male,68.84,57.05
S00503,Male,36.44,79.42
S00504,Female,93.86,70.5
S00505,Male,66.28,28.08
S00506,Male,84.43,15.47
S00507,Female,76.59,75.09
S00508,Male,37.91,23.38
S00509,Female,47.87,24.47
S00510,Female,18.61,64.39
S00511,Male,29.2,78.91
S00512,Female,77.81,58.23
S00513,Male,89.4,88.5
S00514,Female,72.45,21.14
S00515,Female,46.52,25.24
S00516,Male,8.65,63.7
S00517,Female,5.69,82.94
S00518,Female,37.43,53.94
S00519,Female,46.38,1.04
S00520,Female,60.91,67.69
S00521,Female,0.65,81.36
S00522,Male,98.97,27.65
S00523,Female,36.39,5.42
S00524,Male,84.81,51.8
S00525,Female,53.5,4.22
S00526,Male,13.04,41.6
S00527,Male,79.76,1.78
S00528,Female,70.98,22.5
S00529,Female,52.74,38.88
S00530,Female,51.46,11.17
S00531,Male,8.75,11.42
S00532,Female,65.58,82.71
S00533,Male,91.12,4.14
S00534,Male,9.32,68.9
S00535,Male,26.35,81.45
S00536,Female,90.23,13.07
S00537,Female,28.43,19.54
S00538,Male,65.39,64.15
S00539,Male,53.48,31.56
S00540,Female,59.63,47.64
S00541,Male,41.58,83.6
S00542,Female,30.0,13.8
S00543,Male,4.85,61.97
S00544,Female,74.43,94.24
S00545,Male,74.61,5.75
S00546,Female,67.07,6.0
S00547,Male,64.36,55.47
S00548,Female,24.37,96.01
S00549,Female,2.23,22.05
S00550,Male,80.87,33.08
S00551,Male,49.11,9.86
S00552,Female,30.68,36.22
S00553,Male,10.19,4.43
S00554,Female,6.27,38.91
S00555,Male,34.89,55.55
S00556,Female,80.47,97.5
S00557,Female,91.87,81.84
S00558,Female,89.68,82.21
S00559,Female,92.0,22.81
S00560,Female,90.77,8.72
S00561,Female,52.72,60.31
S00562,Male,21.94,52.11
S00563,Male,79.8,51.65
S00564,Male,21.37,10.9
S00565,Female,26.72,49.39
S00566,Female,23.33,15.04
S00567,Female,51.5,42.21
S00568,Female,32.18,6.22
S00569,Male,15.42,85.69
S00570,Male,45.32,1.32
S00571,Female,87.39,93.93
S00572,Male,57.06,86.29
S00573,Male,87.83,75.26
S00574,Female,19.59,98.26
S00575,Male,16.7,5.38
S00576,Female,57.56,64.16
S00577,Male,46.33,84.93
S00578,Female,66.02,12.66
S00579,Female,79.46,58.48
S00580,Female,75.13,39.39
S00581,Female,94.23,43.58
S00582,Male,39.83,91.25
S00583,Female,20.64,53.87
S00584,Female,55.09,9.33
S00585,Female,11.07,93.72
S00586,Male,28.89,18.52
S00587,Female,20.79,89.26
S00588,Male,39.66,97.09
S00589,Female,11.12,87.78
S00590,Male,3.18,67.71
S00591,Male,65.68,74.36
S00592,Female,61.02,69.99
S00593,Male,70.84,46.05
S00594,Female,66.04,27.44
S00595,Female,11.43,28.5
S00596,Female,29.11,73.12
S00597,Male,12.95,62.6
S00598,Male,84.3,58.49
S00599,Female,74.69,65.26
S00600,Female,20.15,77.48
S00601,Male,34.13,74.83
S00602,Female,96.66,10.54
S00603,Female,59.42,36.3
S00604,Female,80.12,26.4
S00605,Male,26.46,53.82
S00606,Male,21.01,6.14
S00607,Male,78.39,76.25
S00608,Female,68.59,10.65
S00609,Female,68.1,27.14
S00610,Female,55.26,78.27
S00611,Male,56.36,5.16
S00612,Female,73.57,66.02
S00613,Female,27.0,92.45
S00614,Female,35.28,61.76
S00615,Female,87.16,71.27
S00616,Male,30.89,79.23
S00617,Male,54.63,22.22
S00618,Female,70.26,58.1
S00619,Male,99.99,30.91
S00620,Male,43.53,24.95
S00621,Female,42.81,19.25
S00622,Female,84.26,58.54
S00623,Male,80.55,79.45
S00624,Female,73.11,87.59
S00625,Male,46.32,42.86
S00626,Female,32.39,37.29
S00627,Male,60.87,68.73
S00628,Female,87.62,78.04
S00629,Male,88.38,25.33
S00630,Male,10.85,29.73
S00631,Male,42.84,53.34
S00632,Female,46.47,44.44
S00633,Male,97.76,70.58
S00634,Male,67.8,50.45
S00635,Female,40.72,11.16
S00636,Female,2.61,16.6
S00637,Male,56.54,90.19
S00638,Male,9.61,22.74
S00639,Female,83.44,5.01
S00640,Female,75.25,73.15
S00641,Female,46.05,68.4
S00642,Female,42.92,60.01
S00643,Female,89.73,50.23
S00644,Male,28.85,96.96
S00645,Female,24.9,11.98
S00646,Male,93.92,51.02
S00647,Male,80.92,56.4
S00648,Male,82.06,2.25
S00649,Female,19.52,41.2
S00650,Male,14.33,78.28
S00651,Male,2.6,47.11
S00652,Female,23.7,87.53
S00653,Male,77.42,64.48
S00654,Male,24.0,76.61
S00655,Female,72.91,80.45
S00656,Male,25.19,68.95
S00657,Male,39.53,74.94
S00658,Male,98.32,69.53
S00659,Female,24.48,55.05
S00660,Female,37.64,56.65
S00661,Female,30.11,18.99
S00662,Male,10.96,82.74
S00663,Male,48.99,31.21
S00664,Female,37.87,53.57
S00665,Male,69.49,24.95
S00666,Male,81.76,69.59
S00667,Female,54.42,97.52
S00668,Female,3.22,80.19
S00669,Male,61.89,61.91
S00670,Male,5.54,56.75
S00671,Male,61.64,48.98
S00672,Female,68.5,20.5
S00673,Female,19.78,34.8
S00674,Female,81.93,40.64
S00675,Female,91.11,94.46
S00676,Male,81.31,42.56
S00677,Female,30.51,58.62
S00678,Female,58.66,92.24
S00679,Female,91.48,51.84
S00680,Female,32.07,25.14
S00681,Female,82.0,38.1
S00682,Male,0.95,37.55
S00683,Male,0.36,71.47
S00684,Female,75.97,29.61
S00685,Male,76.14,73.03
S00686,Female,78.9,88.92
S00687,Female,93.0,33.61
S00688,Male,11.79,13.53
S00689,Male,23.2,63.86
S00690,Female,90.37,36.09
S00691,Female,17.72,53.4
S00692,Female,68.22,63.42
S00693,Male,53.05,40.77
S00694,Female,8.32,92.47
S00695,Female,28.53,39.96
S00696,Female,52.04,30.74
S00697,Male,85.24,88.57
S00698,Female,70.75,13.63
S00699,Female,62.19,12.42
S00700,Male,49.6,93.57
S00701,Female,29.87,20.9
S00702,Female,11.92,14.84
S00703,Male,40.91,53.52
S00704,Female,2.85,4.68
S00705,Male,21.11,62.0
S00706,Male,43.25,45.29
S00707,Female,41.86,64.04
S00708,Female,4.43,28.39
S00709,Female,58.91,90.55
S00710,Female,54.97,27.06
S00711,Male,7.81,63.76
S00712,Female,94.32,94.51
S00713,Male,9.94,40.08
S00714,Female,85.48,16.14
S00715,Female,0.03,6.84
S00716,Female,88.23,96.3
S00717,Male,1.97,76.37
S00718,Female,75.78,91.9
S00719,Female,36.17,69.88
S00720,Female,73.82,34.24
S00721,Female,40.17,12.3
S00722,Male,7.09,92.93
S00723,Female,76.75,48.96
S00724,Male,7.13,39.65
S00725,Male,92.21,57.78
S00726,Male,5.1,10.66
S00727,Male,47.93,30.92
S00728,Male,72.3,63.79
S00729,Male,39.32,10.01
S00730,Female,21.72,13.52
S00731,Male,75.91,51.06
S00732,Male,78.43,62.35
S00733,Male,92.27,18.7
S00734,Female,37.62,3.31
S00735,Female,50.63,95.84
S00736,Male,36.31,2.75
S00737,Female,25.71,0.21
S00738,Male,75.1,32.33
S00739,Male,33.97,22.25
S00740,Female,42.81,57.36
S00741,Male,40.37,89.42
S00742,Female,71.27,48.11
S00743,Female,91.78,77.33
S00744,Male,66.68,90.92
S00745,Male,47.16,18.94
S00746,Female,77.92,48.83
S00747,Male,64.1,64.21
S00748,Male,6.06,33.19
S00749,Male,9.57,73.98
S00750,Female,3.79,70.53
S00751,Female,45.68,42.11
S00752,Male,82.59,8.8
S00753,Female,31.31,1.16
S00754,Female,38.42,36.93
S00755,Female,90.95,8.21
S00756,Female,83.69,78.16
S00757,Female,66.5,33.43
S00758,Male,26.68,66.61
S00759,Male,11.7,34.64
S00760,Male,1.61,79.59
S00761,Female,10.7,88.84
S00762,Female,29.26,83.75
S00763,Male,55.18,48.45
S00764,Female,6.4,8.4
S00765,Male,13.62,37.17
S00766,Male,18.11,42.45
S00767,Male,63.2,96.03
S00768,Female,61.58,56.55
S00769,Female,55.08,64.08
S00770,Male,25.05,78.2
S00771,Male,37.11,56.82
S00772,Male,9.67,59.85
S00773,Male,22.65,24.53
S00774,Female,89.77,5.89
S00775,Female,97.97,72.14
S00776,Male,64.77,84.87
S00777,Male,91.68,41.2
S00778,Female,64.27,54.89
S00779,Female,3.32,30.73
S00780,Male,99.68,45.02
S00781,Male,9.9,20.89
S00782,Male,68.26,75.99
S00783,Female,25.28,49.19
S00784,Female,39.2,54.72
S00785,Female,64.59,3.71
S00786,Male,43.65,62.24
S00787,Male,25.05,20.27
S00788,Female,33.44,38.34
S00789,Female,34.15,41.27
S00790,Male,95.93,44.87
S00791,Female,79.86,22.74
S00792,Female,45.85,85.01
S00793,Male,19.98,42.79
S00794,Female,81.1,61.21
S00795,Male,15.72,61.39
S00796,Male,21.05,60.7
S00797,Male,36.6,55.93
S00798,Male,88.03,82.26
S00799,Male,13.18,81.26
S00800,Male,12.22,41.71
S00801,Male,49.4,63.58
S00802,Female,27.64,10.28
S00803,Male,56.87,9.08
S00804,Male,45.16,47.99
S00805,Female,43.5,90.02
S00806,Female,11.2,65.0
S00807,Female,14.1,66.92
S00808,Male,82.11,15.77
S00809,Female,88.59,45.33
S00810,Male,23.47,40.08
S00811,Male,11.35,78.3
S00812,Male,5.34,13.78
S00813,Male,60.83,53.92
S00814,Female,71.54,91.14
S00815,Female,37.28,89.25
S00816,Male,67.97,85.23
S00817,Male,71.3,37.5
S00818,Male,93.53,94.11
S00819,Female,6.49,80.53
S00820,Male,19.23,85.11
S00821,Male,6.85,93.24
S00822,Female,86.8,93.7
S00823,Female,79.26,24.01
S00824,Male,57.46,12.77
S00825,Female,8.37,69.09
S00826,Female,27.33,56.32
S00827,Male,29.77,32.74
S00828,Female,56.07,68.44
S00829,Male,25.8,6.2
S00830,Female,7.3,4.72
S00831,Male,73.08,35.43
S00832,Male,29.91,19.38
S00833,Male,45.24,71.86
S00834,Female,12.77,94.8
S00835,Male,80.25,66.16
S00836,Female,56.55,65.48
S00837,Male,90.16,0.66
S00838,Male,49.55,51.23
S00839,Female,94.14,81.71
S00840,Male,89.19,65.41
S00841,Male,57.65,22.78
S00842,Female,93.39,84.85
S00843,Male,32.31,96.44
S00844,Male,36.56,27.9
S00845,Male,4.55,20.71
S00846,Male,58.92,33.85
S00847,Female,72.19,6.32
S00848,Female,77.35,87.34
S00849,Male,14.98,92.93
S00850,Female,44.42,63.33
S00851,Male,17.69,76.43
S00852,Female,66.21,66.87
S00853,Male,15.79,37.74
S00854,Male,90.42,63.2
S00855,Male,23.06,83.63
S00856,Male,29.14,80.99
S00857,Male,85.09,8.11
S00858,Male,45.85,46.26
S00859,Female,2.4,39.73
S00860,Male,49.46,75.2
S00861,Female,8.45,50.14
S00862,Male,98.53,34.97
S00863,Female,58.81,70.63
S00864,Female,25.65,47.36
S00865,Female,56.37,25.66
S00866,Male,7.69,89.04
S00867,Male,79.99,11.3
S00868,Female,92.53,1.81
S00869,Male,87.44,14.39
S00870,Female,34.18,16.36
S00871,Male,32.58,53.8
S00872,Female,3.51,62.49
S00873,Female,65.14,44.86
S00874,Male,53.49,20.42
S00875,Female,45.93,13.22
S00876,Male,90.76,49.22
S00877,Female,16.79,56.55
S00878,Female,0.97,30.4
S00879,Male,7.33,22.04
S00880,Male,22.34,8.06
S00881,Male,3.33,2.62
S00882,Female,50.28,10.57
S00883,Male,31.41,74.21
S00884,Female,18.05,34.4
S00885,Female,75.01,2.74
S00886,Male,20.45,50.82
S00887,Male,68.76,53.61
S00888,Female,34.93,42.87
S00889,Female,51.18,11.07
S00890,Male,93.39,75.5
S00891,Male,3.74,68.91
S00892,Male,50.03,39.47
S00893,Male,85.44,38.08
S00894,Male,58.8,15.59
S00895,Female,27.69,75.35
S00896,Female,39.77,59.96
S00897,Female,68.03,8.58
S00898,Female,89.08,37.81
S00899,Male,4.11,90.36
S00900,Male,7.15,45.24
S00901,Male,32.51,32.49
S00902,Female,23.28,64.38
S00903,Female,26.49,20.3
S00904,Male,22.13,52.38
S00905,Male,19.58,66.95
S00906,Female,13.06,85.49
S00907,Female,93.4,69.25
S00908,Male,14.42,38.44
S00909,Male,20.44,76.78
S00910,Female,24.63,89.84
S00911,Male,93.3,47.78
S00912,Male,75.57,0.45
S00913,Male,78.97,88.09
S00914,Female,10.48,16.54
S00915,Female,83.63,12.63
S00916,Female,40.82,30.77
S00917,Female,26.28,38.0
S00918,Female,57.58,79.94
S00919,Female,82.22,38.92
S00920,Female,77.87,4.88
S00921,Male,89.0,63.6
S00922,Male,92.81,67.12
S00923,Male,23.81,81.42
S00924,Male,42.39,39.89
S00925,Male,1.46,8.61
S00926,Male,87.93,55.31
S00927,Male,15.46,12.1
S00928,Female,86.15,1.71
S00929,Female,32.94,77.86
